0	6.0000000000000000e+00	6.0000000000000000e+00	0.0000000000000000e+00
1	5.9389286512855968e+00	5.9389286512855968e+00	0.0000000000000000e+00
2	5.7784164849086794e+00	5.7784164849086777e+00	3.0741239300412320e-16
3	5.5480074703533830e+00	5.5480074703533839e+00	1.6008962216547848e-16
4	5.2714634822827717e+00	5.2714634822827708e+00	1.6848801527038288e-16
5	4.9673589662535829e+00	4.9673589662535855e+00	5.3640883962730512e-16
6	4.6498425652238193e+00	4.6498425652238176e+00	3.8202515773020510e-16
7	4.3294182246535842e+00	4.3294182246535842e+00	0.0000000000000000e+00
8	4.0136678741374983e+00	4.0136678741374991e+00	2.2128846918879323e-16
9	3.7078810450707844e+00	3.7078810450707866e+00	5.9884500669247412e-16
10	3.4155820955664340e+00	3.4155820955664322e+00	5.2007440889974087e-16
11	3.1389593931255524e+00	3.1389593931255524e+00	0.0000000000000000e+00
12	2.8792072973241085e+00	2.8792072973241059e+00	9.2544057580597150e-16
13	2.6367940597016162e+00	2.6367940597016162e+00	0.0000000000000000e+00
14	2.4116687180910330e+00	2.4116687180910326e+00	1.8414187923853136e-16
15	2.2034188767357246e+00	2.2034188767357259e+00	6.0463656893231633e-16
16	2.0113896186638480e+00	2.0113896186638476e+00	2.2078726355616177e-16
17	1.8347720743712275e+00	1.8347720743712304e+00	1.5732634610839209e-15
18	1.6726685654062114e+00	1.6726685654062090e+00	1.4602358797734585e-15
19	1.5241398374645692e+00	1.5241398374645705e+00	8.7411115227224492e-16
20	1.3882387179911626e+00	1.3882387179911606e+00	1.4395229137659062e-15
21	1.2640335688292439e+00	1.2640335688292403e+00	2.8106165583015787e-15
22	1.1506241311997958e+00	1.1506241311997929e+00	2.5087079140392069e-15
23	1.0471517493246230e+00	1.0471517493246236e+00	6.3613875945365796e-16
24	9.5280548167696411e-01	9.5280548167696166e-01	2.5634725042476659e-15
25	8.6682523923228838e-01	8.6682523923228394e-01	5.1231688897680980e-15
26	7.8850280596044520e-01	7.8850280596044808e-01	3.6608365147278883e-15
27	7.1718137969891971e-01	7.1718137969892060e-01	1.2384292800142005e-15
28	6.5225410652860794e-01	6.5225410652861016e-01	3.4042653423339030e-15
29	5.9316195692861284e-01	5.9316195692861762e-01	8.0483229750735369e-15
30	5.3939119794498969e-01	5.3939119794498325e-01	1.1938076793538448e-14
31	4.9047064507098842e-01	4.9047064507099125e-01	5.7721471024721105e-15
32	4.4596882485862421e-01	4.4596882485862571e-01	3.3607754616459762e-15
33	4.0549114012223136e-01	4.0549114012222970e-01	4.1069566561571302e-15
34	3.6867710063906128e-01	3.6867710063906500e-01	1.0088088264899908e-14
35	3.3519766096781117e-01	3.3519766096782133e-01	3.0306120412622428e-14
36	3.0475269147615297e-01	3.0475269147615297e-01	0.0000000000000000e+00
37	2.7706859743952844e-01	2.7706859743953088e-01	8.8154726906877573e-15
38	2.5189609304767729e-01	2.5189609304766925e-01	3.1954115806826571e-14
39	2.2900813150597732e-01	2.2900813150597732e-01	0.0000000000000000e+00
40	2.0819798852716920e-01	2.0819798852716273e-01	3.1062015364273360e-14
41	1.8927749390518708e-01	1.8927749390518708e-01	0.0000000000000000e+00
42	1.7207540420386561e-01	1.7207540420388509e-01	1.1323183677712135e-13
43	1.5643590861310211e-01	1.5643590861309353e-01	5.4824195680297226e-14
44	1.4221725953685654e-01	1.4221725953686123e-01	3.2982580977279396e-14
45	1.2929051933212038e-01	1.2929051933214625e-01	2.0007806146490116e-13
46	1.1753841471222580e-01	1.1753841471223148e-01	4.8290724588149868e-14
47	1.0685429058543947e-01	1.0685429058543323e-01	5.8314239807962756e-14
48	9.7141155459913725e-02	9.7141155459893117e-02	2.1215019316002630e-13
49	8.8310810970963091e-02	8.8310810970932865e-02	3.4226638293887471e-13
50	8.0283058543402785e-02	8.0283058543411098e-02	1.0354357504187411e-13
51	7.2984976675186719e-02	7.2984976675177587e-02	1.2511594568540284e-13
52	6.6350262792906248e-02	6.6350262792926343e-02	3.0286295637487183e-13
53	6.0318634092602283e-02	6.0318634092602283e-02	0.0000000000000000e+00
54	5.4835282212195545e-02	5.4835282212146924e-02	8.8667054537211139e-13
55	4.9850376999764690e-02	4.9850376999778054e-02	2.6808843710419330e-13
56	4.5318615036298707e-02	4.5318615036225175e-02	1.6225442600337179e-12
57	4.1198808929312235e-02	4.1198808929279886e-02	7.8519559717235084e-13
58	3.7453513742782114e-02	3.7453513742764330e-02	4.7483889489941390e-13
59	3.4048687234253985e-02	3.4048687234253985e-02	0.0000000000000000e+00
60	3.0953380864493178e-02	3.0953380864493178e-02	0.0000000000000000e+00
61	2.8139458812282636e-02	2.8139458812235285e-02	1.6827264630858604e-12
62	2.5581342468810348e-02	2.5581342468706175e-02	4.0722496994360437e-12
63	2.3255778108729086e-02	2.3255778108786380e-02	2.4636650167777137e-12
64	2.1141625649719560e-02	2.1141625649845602e-02	5.9617713606826324e-12
65	1.9219666584157465e-02	1.9219666584053482e-02	5.4102288477405782e-12
66	1.7472429353170570e-02	1.7472429353208696e-02	2.1820521797111587e-12
67	1.5884030581151093e-02	1.5884030581109154e-02	2.6403043321443154e-12
68	1.4440030728054160e-02	1.4440030728054160e-02	0.0000000000000000e+00
69	1.3127302861186040e-02	1.3127302861338277e-02	1.1597020281798281e-11
70	1.1933913344585307e-02	1.1933913344585307e-02	0.0000000000000000e+00
71	1.0849013372965859e-02	1.0849013373211466e-02	2.2638681090179256e-11
72	9.8627403627003733e-03	9.8627403626328318e-03	6.8481432192063682e-12
