1	5.0000000000000000e-01	-2.0429148214667441e+00
2	4.7916666666666669e-01	-1.9994600372389633e+00
3	4.7942708333333334e-01	-2.0000032220418102e+00
4	4.7942553323412701e-01	-1.9999999887989364e+00
5	4.7942553861641590e-01	-2.0000000000254738e+00
6	4.7942553860418341e-01	-1.9999999999999591e+00
7	4.7942553860424658e-01	-2.0000000000000906e+00
8	4.7942553860423137e-01	-2.0000000000000591e+00
9	4.7942553860420495e-01	-2.0000000000000040e+00
10	4.7942553860418757e-01	-1.9999999999999678e+00
11	4.7942553860418718e-01	-1.9999999999999671e+00
12	4.7942553860418707e-01	-1.9999999999999667e+00
13	4.7942553860418707e-01	-1.9999999999999667e+00
14	4.7942553860418707e-01	-1.9999999999999667e+00
15	4.7942553860418707e-01	-1.9999999999999667e+00
16	4.7942553860418707e-01	-1.9999999999999667e+00
17	4.7942553860418707e-01	-1.9999999999999667e+00
18	-inf	-inf
19	-nan	nan
20	-nan	nan
